Sample in Buffer,Sample in Window,TRIGGER,npu_irq,npu_irq_latched,npu_array_clk_en,cpu_halted,debug_resetn,ram_write_beats[31:0],ram_read_beats[31:0],cycle_counter[31:0],dma_active_cycles[31:0],dma_data_cycles[31:0],dma_read_beats[31:0],dma_write_beats[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
209,209,0,1,1,0,0,1,00000013,00000027,000000c1,0000001c,00000018,00000008,00000010
210,210,0,1,1,0,0,1,00000013,00000028,000000c2,0000001c,00000018,00000008,00000010
211,211,0,1,1,0,0,1,00000013,00000028,000000c3,0000001c,00000018,00000008,00000010
212,212,0,1,1,0,0,1,00000013,00000028,000000c4,0000001c,00000018,00000008,00000010
213,213,0,1,1,0,0,1,00000013,00000028,000000c5,0000001c,00000018,00000008,00000010
214,214,0,1,1,0,0,1,00000014,00000028,000000c6,0000001c,00000018,00000008,00000010
215,215,0,1,1,0,0,1,00000014,00000028,000000c7,0000001c,00000018,00000008,00000010
216,216,0,1,1,0,0,1,00000014,00000028,000000c8,0000001c,00000018,00000008,00000010
217,217,0,1,1,0,0,1,00000014,00000028,000000c9,0000001c,00000018,00000008,00000010
218,218,0,1,1,0,0,1,00000014,00000028,000000ca,0000001c,00000018,00000008,00000010
219,219,0,1,1,0,0,1,00000014,00000029,000000cb,0000001c,00000018,00000008,00000010
220,220,0,1,1,0,0,1,00000014,00000029,000000cc,0000001c,00000018,00000008,00000010
221,221,0,1,1,0,0,1,00000014,00000029,000000cd,0000001c,00000018,00000008,00000010
222,222,0,1,1,0,0,1,00000014,0000002a,000000ce,0000001c,00000018,00000008,00000010
223,223,0,1,1,0,0,1,00000014,0000002a,000000cf,0000001c,00000018,00000008,00000010
224,224,0,1,1,0,0,1,00000014,0000002a,000000d0,0000001c,00000018,00000008,00000010
225,225,0,1,1,0,0,1,00000014,0000002a,000000d1,0000001c,00000018,00000008,00000010
226,226,0,1,1,0,0,1,00000015,0000002a,000000d2,0000001c,00000018,00000008,00000010
227,227,0,1,1,0,0,1,00000015,0000002a,000000d3,0000001c,00000018,00000008,00000010
228,228,0,1,1,0,0,1,00000015,0000002a,000000d4,0000001c,00000018,00000008,00000010
229,229,0,1,1,0,0,1,00000015,0000002a,000000d5,0000001c,00000018,00000008,00000010
230,230,0,1,1,0,0,1,00000015,0000002a,000000d6,0000001c,00000018,00000008,00000010
231,231,0,1,1,0,0,1,00000015,0000002b,000000d7,0000001c,00000018,00000008,00000010
232,232,0,1,1,0,0,1,00000015,0000002b,000000d8,0000001c,00000018,00000008,00000010
233,233,0,1,1,0,0,1,00000015,0000002b,000000d9,0000001c,00000018,00000008,00000010
234,234,0,1,1,0,0,1,00000015,0000002c,000000da,0000001c,00000018,00000008,00000010
235,235,0,1,1,0,0,1,00000015,0000002c,000000db,0000001c,00000018,00000008,00000010
236,236,0,1,1,0,0,1,00000015,0000002c,000000dc,0000001c,00000018,00000008,00000010
237,237,0,1,1,0,0,1,00000015,0000002c,000000dd,0000001c,00000018,00000008,00000010
238,238,0,1,1,0,0,1,00000015,0000002d,000000de,0000001c,00000018,00000008,00000010
239,239,0,1,1,0,0,1,00000015,0000002d,000000df,0000001c,00000018,00000008,00000010
240,240,0,1,1,0,0,1,00000015,0000002d,000000e0,0000001c,00000018,00000008,00000010
241,241,0,1,1,0,0,1,00000015,0000002e,000000e1,0000001c,00000018,00000008,00000010
242,242,0,1,1,0,0,1,00000015,0000002e,000000e2,0000001c,00000018,00000008,00000010
243,243,0,1,1,0,0,1,00000015,0000002e,000000e3,0000001c,00000018,00000008,00000010
244,244,0,1,1,0,0,1,00000015,0000002e,000000e4,0000001c,00000018,00000008,00000010
245,245,0,1,1,0,0,1,00000015,0000002f,000000e5,0000001c,00000018,00000008,00000010
246,246,0,1,1,0,0,1,00000015,0000002f,000000e6,0000001c,00000018,00000008,00000010
247,247,0,1,1,0,0,1,00000015,0000002f,000000e7,0000001c,00000018,00000008,00000010
248,248,0,1,1,0,0,1,00000015,00000030,000000e8,0000001c,00000018,00000008,00000010
249,249,0,1,1,0,0,1,00000015,00000030,000000e9,0000001c,00000018,00000008,00000010
250,250,0,1,1,0,0,1,00000015,00000030,000000ea,0000001c,00000018,00000008,00000010
251,251,0,1,1,0,0,1,00000015,00000030,000000eb,0000001c,00000018,00000008,00000010
252,252,0,1,1,0,0,1,00000015,00000031,000000ec,0000001c,00000018,00000008,00000010
253,253,0,1,1,0,0,1,00000015,00000031,000000ed,0000001c,00000018,00000008,00000010
254,254,0,1,1,0,0,1,00000015,00000031,000000ee,0000001c,00000018,00000008,00000010
255,255,0,1,1,0,0,1,00000015,00000032,000000ef,0000001c,00000018,00000008,00000010
256,256,0,1,1,0,0,1,00000015,00000032,000000f0,0000001c,00000018,00000008,00000010
257,257,0,1,1,0,0,1,00000015,00000032,000000f1,0000001c,00000018,00000008,00000010
258,258,0,1,1,0,0,1,00000015,00000032,000000f2,0000001c,00000018,00000008,00000010
259,259,0,1,1,0,0,1,00000015,00000033,000000f3,0000001c,00000018,00000008,00000010
260,260,0,1,1,0,0,1,00000015,00000033,000000f4,0000001c,00000018,00000008,00000010
261,261,0,1,1,0,0,1,00000015,00000033,000000f5,0000001c,00000018,00000008,00000010
262,262,0,1,1,0,0,1,00000015,00000034,000000f6,0000001c,00000018,00000008,00000010
263,263,0,1,1,0,0,1,00000015,00000034,000000f7,0000001c,00000018,00000008,00000010
264,264,0,1,1,0,0,1,00000015,00000034,000000f8,0000001c,00000018,00000008,00000010
265,265,0,1,1,0,0,1,00000015,00000034,000000f9,0000001c,00000018,00000008,00000010
266,266,0,1,1,0,0,1,00000015,00000035,000000fa,0000001c,00000018,00000008,00000010
267,267,0,1,1,0,0,1,00000015,00000035,000000fb,0000001c,00000018,00000008,00000010
268,268,0,1,1,0,0,1,00000015,00000035,000000fc,0000001c,00000018,00000008,00000010
269,269,0,1,1,0,0,1,00000015,00000036,000000fd,0000001c,00000018,00000008,00000010
270,270,0,1,1,0,0,1,00000015,00000036,000000fe,0000001c,00000018,00000008,00000010
271,271,0,1,1,0,0,1,00000015,00000036,000000ff,0000001c,00000018,00000008,00000010
272,272,0,1,1,0,0,1,00000015,00000036,00000100,0000001c,00000018,00000008,00000010
273,273,0,1,1,0,0,1,00000015,00000037,00000101,0000001c,00000018,00000008,00000010
274,274,0,1,1,0,0,1,00000015,00000037,00000102,0000001c,00000018,00000008,00000010
275,275,0,1,1,0,0,1,00000015,00000037,00000103,0000001c,00000018,00000008,00000010
